MainBranch,RemoteWork,EdLevel,LearnCode,LearnCodeOnline,YearsCode,DevType,OrgSize,Country,WorkExp,Industry,generation,Employment_Status,Language_Category,Tech_Category
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,20,Software Development Roles,Medium Organizations,United States of America,7.0,Technology and Information Services,Y,Employed,"Server-Side Development, Mobile Development, Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Some College,Books / Physical Media,Mixed Approaches,30,Software Development Roles,Medium Organizations,Portugal,20.0,Financial Sector,Y,Employed,"Server-Side Development, Web Development",Backend Technologies
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,7,Software Development Roles,Medium Organizations,Netherlands,7.0,Manufacturing Sector,Y,Employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Online Courses / Bootcamps,Mixed Approaches,12,Software Development Roles,Medium Organizations,Switzerland,12.0,Financial Sector,Y,Employed,Web Development,"Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Some College,Books / Physical Media,Mixed Approaches,3,Data Science and Research Roles,Small Organizations,Poland,14.0,Technology and Information Services,Y,Employed,Server-Side Development,Uncategorized
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,10,Software Development Roles,Medium Organizations,Germany,5.0,Services and Advertising,Y,Employed,"Server-Side Development, Mobile Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Some College,Books / Physical Media,Mixed Approaches,2,Software Development Roles,Small Organizations,Nepal,3.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development, System Programming","JavaScript Libraries, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Secondary Education,Books / Physical Media,Mixed Approaches,8,Software Development Roles,Medium Organizations,Czech Republic,8.0,Technology and Information Services,Y,Not employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,5,Software Development Roles,Small Organizations,Viet Nam,3.0,Healthcare and Education,Z,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Online Courses / Bootcamps,Mixed Approaches,8,Software Development Roles,Small Organizations,Netherlands,4.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development",Uncategorized
Developer,Remote,Degree,Online Courses / Bootcamps,Mixed Approaches,8,Software Development Roles,Small Organizations,Ethiopia,8.0,Technology and Information Services,Y,Employed,"Server-Side Development, Mobile Development, Web Development, System Programming","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,7,Software Development Roles,Large Organizations,Brazil,4.0,Financial Sector,Z,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,Remote,Degree,Online Courses / Bootcamps,Mixed Approaches,14,Software Development Roles,Medium Organizations,Ukraine,11.0,Government and Other Services,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,Remote,Degree,Online Courses / Bootcamps,Mixed Approaches,9,Software Development Roles,Large Organizations,Australia,10.0,Manufacturing Sector,Y,Employed,Web Development,"Backend Technologies, Frontend Technologies"
Developer,In-person,Degree,Books / Physical Media,Mixed Approaches,4,Software Development Roles,Small Organizations,Viet Nam,1.0,Technology and Information Services,Z,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Non-developer,Remote,Some College,Books / Physical Media,Mixed Approaches,20,"Education, Advocacy, and Sales Roles",Small Organizations,United States of America,20.0,Technology and Information Services,Y,Employed,"Server-Side Development, Mobile Development, Web Development, System Programming","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,Remote,Secondary Education,Books / Physical Media,Mixed Approaches,15,Software Development Roles,Small Organizations,Argentina,15.0,Technology and Information Services,Y,Not employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Secondary Education,Books / Physical Media,Mixed Approaches,7,Software Development Roles,Small Organizations,Greece,2.0,Technology and Information Services,Z,Employed,"Server-Side Development, Web Development","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,Remote,Degree,Online Courses / Bootcamps,Mixed Approaches,6,Software Development Roles,Small Organizations,Romania,4.0,Technology and Information Services,Z,Not employed,"Server-Side Development, Web Development, System Programming",Frontend Technologies
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,9,Software Development Roles,Medium Organizations,Sri Lanka,9.0,Healthcare and Education,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Some College,Online Courses / Bootcamps,Mixed Approaches,15,Software Development Roles,Medium Organizations,United Kingdom of Great Britain and Northern Ireland,10.0,Services and Advertising,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,10,Data Science and Research Roles,Large Organizations,United States of America,3.0,Technology and Information Services,Y,Employed,Server-Side Development,Frontend Technologies
Developer,Remote,Some College,Books / Physical Media,Mixed Approaches,7,Software Development Roles,Small Organizations,United States of America,5.0,Technology and Information Services,Z,Employed,Server-Side Development,Frontend Technologies
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,4,Software Development Roles,Medium Organizations,Sweden,6.0,Technology and Information Services,Y,Employed,Server-Side Development,Uncategorized
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,9,Software Development Roles,Small Organizations,Germany,5.0,Financial Sector,Y,Employed,"Server-Side Development, Web Development",Uncategorized
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,12,Software Development Roles,Medium Organizations,United States of America,35.0,Financial Sector,X,Employed,"Server-Side Development, Web Development",Frontend Technologies
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,3,Software Development Roles,Small Organizations,Turkey,2.0,Financial Sector,Z,Employed,Server-Side Development,Frontend Technologies
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,12,Software Development Roles,Small Organizations,Germany,5.0,Technology and Information Services,Y,Employed,"Server-Side Development, Mobile Development, Web Development",Frontend Technologies
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,15,Data Science and Research Roles,Medium Organizations,"Iran, Islamic Republic of...",15.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,Remote,Some College,Online Courses / Bootcamps,Mixed Approaches,8,Engineering and Operations Roles,Medium Organizations,United Kingdom of Great Britain and Northern Ireland,12.0,Financial Sector,Y,Employed,"Server-Side Development, Mobile Development",Uncategorized
Developer,Remote,Degree,Online Courses / Bootcamps,Mixed Approaches,11,Management and Executive Roles,Small Organizations,Canada,7.0,Technology and Information Services,Y,Employed,Web Development,"Backend Technologies, Frontend Technologies"
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,27,Software Development Roles,Large Organizations,United States of America,17.0,Financial Sector,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,Remote,Some College,Books / Physical Media,Mixed Approaches,15,Software Development Roles,Medium Organizations,United States of America,11.0,Government and Other Services,Y,Employed,Web Development,Frontend Technologies
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,11,Data Science and Research Roles,Medium Organizations,Brazil,10.0,Services and Advertising,Y,Employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,10,Software Development Roles,Medium Organizations,Netherlands,4.0,Services and Advertising,Y,Employed,"Server-Side Development, Mobile Development, Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,In-person,Degree,Books / Physical Media,Mixed Approaches,10,Engineering and Operations Roles,Small Organizations,Spain,8.0,Healthcare and Education,Y,Employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,Remote,Some College,Books / Physical Media,Mixed Approaches,8,Software Development Roles,Medium Organizations,India,14.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,Remote,Some College,Books / Physical Media,Mixed Approaches,8,Software Development Roles,Medium Organizations,Kosovo,5.0,Financial Sector,Y,Employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,Remote,Secondary Education,Books / Physical Media,Mixed Approaches,5,Software Development Roles,Medium Organizations,Czech Republic,7.0,Technology and Information Services,Z,Not employed,"Mobile Development, Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Online Courses / Bootcamps,Mixed Approaches,10,Software Development Roles,Small Organizations,United Kingdom of Great Britain and Northern Ireland,8.0,Technology and Information Services,Y,Not employed,"Server-Side Development, Web Development","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,Remote,Some College,Books / Physical Media,Mixed Approaches,8,Software Development Roles,Medium Organizations,United States of America,20.0,Healthcare and Education,Y,Employed,"Web Development, System Programming",Uncategorized
Non-developer,Remote,Degree,Online Courses / Bootcamps,Mixed Approaches,5,Engineering and Operations Roles,Medium Organizations,Italy,3.0,Financial Sector,Y,Not employed,Server-Side Development,Uncategorized
Developer,"Hybrid (some remote, some in-person)",Degree,Online Courses / Bootcamps,Mixed Approaches,10,Software Development Roles,Large Organizations,Australia,10.0,Government and Other Services,Y,Employed,Web Development,"Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,17,Software Development Roles,Medium Organizations,United States of America,15.0,Manufacturing Sector,Y,Employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,20,Software Development Roles,Medium Organizations,Chile,13.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development, System Programming",Frontend Technologies
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,15,Software Development Roles,Small Organizations,Poland,11.0,Government and Other Services,Y,Employed,"Mobile Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,30,Software Development Roles,Small Organizations,Spain,25.0,Services and Advertising,Y,Employed,"Server-Side Development, Web Development","JavaScript Libraries, Frontend Technologies"
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,15,Software Development Roles,Medium Organizations,Spain,15.0,Technology and Information Services,Y,Employed,"Server-Side Development, Mobile Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,15,Software Development Roles,Medium Organizations,United States of America,3.0,Healthcare and Education,Y,Employed,"Server-Side Development, Web Development, System Programming",Backend Technologies
Developer,Remote,Degree,Online Courses / Bootcamps,Mixed Approaches,13,Software Development Roles,Medium Organizations,Italy,12.0,Services and Advertising,Y,Not employed,"Server-Side Development, Web Development",Frontend Technologies
Developer,Remote,Some College,Books / Physical Media,Mixed Approaches,24,"Education, Advocacy, and Sales Roles",Small Organizations,Canada,18.0,Technology and Information Services,X,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Secondary Education,Online Courses / Bootcamps,Mixed Approaches,10,Software Development Roles,Medium Organizations,Czech Republic,16.0,Technology and Information Services,Y,Not employed,"Server-Side Development, Web Development",Backend Technologies
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,7,Software Development Roles,Large Organizations,Ireland,3.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Non-developer,Remote,Degree,Books / Physical Media,Mixed Approaches,16,Management and Executive Roles,Medium Organizations,United States of America,20.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Some College,Online Courses / Bootcamps,Mixed Approaches,5,Engineering and Operations Roles,Small Organizations,Armenia,4.0,Financial Sector,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Online Courses / Bootcamps,Mixed Approaches,12,Software Development Roles,Small Organizations,Mexico,8.0,Healthcare and Education,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Online Courses / Bootcamps,Mixed Approaches,10,Software Development Roles,Small Organizations,Mexico,5.0,Technology and Information Services,Y,Employed,"Server-Side Development, Mobile Development, Web Development, System Programming","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Some College,Online Courses / Bootcamps,Mixed Approaches,6,Software Development Roles,Small Organizations,Poland,5.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development",Uncategorized
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,12,Software Development Roles,Medium Organizations,United Kingdom of Great Britain and Northern Ireland,5.0,Financial Sector,Y,Employed,"Server-Side Development, Mobile Development, Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,25,Software Development Roles,Small Organizations,United States of America,25.0,Government and Other Services,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,16,Software Development Roles,Small Organizations,Portugal,16.0,Healthcare and Education,Y,Employed,"Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,25,Management and Executive Roles,Small Organizations,United States of America,25.0,Government and Other Services,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,Remote,Degree,Online Courses / Bootcamps,Mixed Approaches,5,Software Development Roles,Small Organizations,Sri Lanka,3.0,Technology and Information Services,Z,Employed,"Server-Side Development, System Programming",Backend Technologies
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,17,Software Development Roles,Large Organizations,India,11.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development",Frontend Technologies
Developer,Remote,Some College,Books / Physical Media,Mixed Approaches,18,Management and Executive Roles,Small Organizations,United States of America,22.0,Healthcare and Education,Y,Employed,Web Development,"Backend Technologies, Frontend Technologies"
Developer,Remote,Some College,Books / Physical Media,Mixed Approaches,12,Software Development Roles,Medium Organizations,United States of America,8.0,Services and Advertising,Y,Employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,30,Software Development Roles,Medium Organizations,Germany,31.0,Technology and Information Services,X,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Online Courses / Bootcamps,Mixed Approaches,6,Management and Executive Roles,Medium Organizations,United States of America,2.0,Manufacturing Sector,Z,Employed,"Server-Side Development, Web Development","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,10,Software Development Roles,Unknown,United States of America,7.0,Services and Advertising,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,Remote,Some College,Books / Physical Media,Mixed Approaches,25,Software Development Roles,Small Organizations,United States of America,25.0,Services and Advertising,X,Employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,3,Software Development Roles,Small Organizations,Brazil,1.0,Government and Other Services,Y,Employed,Web Development,Frontend Technologies
Non-developer,Remote,Degree,Books / Physical Media,Mixed Approaches,25,"Education, Advocacy, and Sales Roles",Large Organizations,Germany,19.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,Remote,Some College,Online Courses / Bootcamps,Mixed Approaches,4,Software Development Roles,Small Organizations,Nomadic,4.0,Services and Advertising,Z,Employed,Web Development,"Backend Technologies, Frontend Technologies"
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,17,Software Development Roles,Freelancers / Sole Proprietors,United States of America,17.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development, System Programming",Frontend Technologies
Developer,Remote,Secondary Education,Books / Physical Media,Mixed Approaches,11,Software Development Roles,Medium Organizations,United States of America,7.0,Healthcare and Education,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Some College,Online Courses / Bootcamps,Mixed Approaches,5,Software Development Roles,Medium Organizations,Canada,2.0,Healthcare and Education,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,Remote,Degree,Online Courses / Bootcamps,Mixed Approaches,6,Software Development Roles,Small Organizations,United States of America,4.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Online Courses / Bootcamps,Mixed Approaches,6,Software Development Roles,Small Organizations,India,2.0,Technology and Information Services,Z,Employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,6,Software Development Roles,Small Organizations,Mexico,3.0,Healthcare and Education,Y,Employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,11,Software Development Roles,Medium Organizations,Netherlands,10.0,Government and Other Services,Y,Employed,Server-Side Development,Backend Technologies
Developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,5,Software Development Roles,Medium Organizations,Somalia,5.0,Technology and Information Services,Z,Employed,"Mobile Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,In-person,Degree,Books / Physical Media,Mixed Approaches,6,Software Development Roles,Large Organizations,Bangladesh,1.0,Technology and Information Services,Z,Employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, JavaScript Libraries"
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,15,Software Development Roles,Small Organizations,Sweden,11.0,Technology and Information Services,Y,Not employed,"Server-Side Development, Web Development","JavaScript Libraries, Frontend Technologies"
Developer,Remote,Some College,Books / Physical Media,Mixed Approaches,10,Software Development Roles,Small Organizations,Spain,8.0,Financial Sector,Y,Employed,"Server-Side Development, Web Development, System Programming","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,Remote,Some College,Books / Physical Media,Mixed Approaches,8,Software Development Roles,Medium Organizations,Argentina,4.0,Technology and Information Services,Y,Employed,"Web Development, System Programming","Backend Technologies, Frontend Technologies"
Developer,Remote,Degree,Books / Physical Media,Mixed Approaches,10,Software Development Roles,Medium Organizations,Mexico,7.0,Manufacturing Sector,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,Remote,Degree,Online Courses / Bootcamps,Mixed Approaches,10,Software Development Roles,Small Organizations,El Salvador,4.0,Technology and Information Services,Y,Not employed,Web Development,"Backend Technologies, Frontend Technologies"
Developer,Remote,Other,Online Courses / Bootcamps,Mixed Approaches,3,Software Development Roles,Small Organizations,Colombia,2.0,Technology and Information Services,Y,Not employed,"Server-Side Development, Web Development",Frontend Technologies
Developer,Remote,Some College,Online Courses / Bootcamps,Mixed Approaches,42,Management and Executive Roles,Medium Organizations,United States of America,30.0,Technology and Information Services,X,Employed,"Server-Side Development, Web Development",Frontend Technologies
Developer,Remote,Degree,Online Courses / Bootcamps,Mixed Approaches,8,Software Development Roles,Small Organizations,Mexico,3.0,Technology and Information Services,Y,Not employed,Web Development,"Backend Technologies, Frontend Technologies"
Developer,In-person,Degree,Online Courses / Bootcamps,Mixed Approaches,6,Software Development Roles,Medium Organizations,United States of America,1.0,Manufacturing Sector,Z,Employed,"Server-Side Development, Web Development",Backend Technologies
Developer,"Hybrid (some remote, some in-person)",Some College,Books / Physical Media,Mixed Approaches,22,Management and Executive Roles,Small Organizations,Switzerland,23.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development",Uncategorized
Developer,Remote,Degree,Online Courses / Bootcamps,Mixed Approaches,30,Software Development Roles,Medium Organizations,South Africa,20.0,Technology and Information Services,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,"Hybrid (some remote, some in-person)",Some College,Online Courses / Bootcamps,Mixed Approaches,2,Software Development Roles,Medium Organizations,Colombia,0.0,Technology and Information Services,Z,Employed,"Server-Side Development, Web Development","Backend Technologies, Frontend Technologies"
Developer,Remote,Degree,Online Courses / Bootcamps,Mixed Approaches,20,Software Development Roles,Medium Organizations,Paraguay,13.0,Technology and Information Services,Y,Employed,"Server-Side Development, Mobile Development, Web Development","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,In-person,Degree,Books / Physical Media,Mixed Approaches,6,Software Development Roles,Small Organizations,Mexico,2.0,Manufacturing Sector,Y,Employed,"Server-Side Development, Web Development","Backend Technologies, JavaScript Libraries, Frontend Technologies"
Developer,In-person,Degree,Books / Physical Media,Mixed Approaches,6,Management and Executive Roles,Small Organizations,Brazil,4.0,Technology and Information Services,Z,Employed,Server-Side Development,Uncategorized
Non-developer,"Hybrid (some remote, some in-person)",Degree,Books / Physical Media,Mixed Approaches,10,Management and Executive Roles,Medium Organizations,United States of America,7.0,Government and Other Services,Y,Employed,"Server-Side Development, Web Development",Frontend Technologies
